timestamp,encoderR,encoderL
27082948,18134.69,10807.05
27092918,18194.93,10834.26
27102897,18265.03,10943.78
27112923,18325.2,10975.97
27123054,18398.86,11011.3
27132953,18470.6,11043.29
27142933,18526.04,11070.24
27152952,18604.34,11109.52
27162919,18668.3,11147.68
27173008,18737.88,11176.57
27182923,18812.93,11284.94
27192938,18891.37,11314.73
27202934,18973.13,11349.18
27212965,19046.26,11381.28
27222912,19131.72,11406.66
27232936,19206.83,11434.44
27242929,19288.91,11464.81
27252992,19366.7,11493.58
27262954,19447.0,11522.26
27272917,19538.13,11547.43
27282935,19616.57,11649.96
27292912,19706.01,11678.7
27302940,19783.17,11709.79
27312919,19877.0,11737.78
27323043,19968.08,11765.89
27332941,20052.53,11795.8
27342935,20143.0,11825.05
27352923,20231.11,11857.02
27362924,20324.32,11883.8
27372916,20419.18,11904.27
27382980,20502.4,12003.63
27392976,20603.03,12026.19
27402913,20688.06,12048.07
27413000,20781.65,12073.44
27422910,20866.78,12096.67
27432958,20947.81,12121.28
27442933,21031.23,12149.82
27452947,21101.0,12184.97
27462924,21174.37,12229.35
27472935,21234.04,12267.05
27482963,21309.68,12381.24
27492980,21379.63,12424.76
27502928,21440.09,12463.63
27512939,21508.82,12502.6
27522940,21567.02,12545.16
27532908,21622.58,12586.56
27542978,21692.01,12624.16
27553314,21754.6,12740.27
27562962,21810.73,12780.29
27572913,21874.71,12823.21
27582976,21927.97,12860.55
