gyroX,gyroY,gyroZ,accelX,accelY,accelZ,encoderR,encoderL,timestamp,timestamp_s,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x,y,theta,linear_displacement,delta_theta_odom,delta_theta_gyro
385.0,3194.0,-30407.0,388.0,7104.0,22232.0,3.43,-1.68,18132.0,18.132,0.010000000000001563,2.9389312977099236,24.38167938931298,-232.1145038167939,0.23223756103515625,4.2521021484374995,13.306972827148437,-0.01081196911132547,0.027712728533424814,3.797611248565209,0.008639379797371938,-0.06688552101191178,0.0
3347.0,-2548.0,-31515.0,2628.0,7488.0,11712.0,3.53,-1.53,18142.0,18.142,0.00999999999999801,25.549618320610687,-19.450381679389313,-240.57251908396947,1.5729904907226562,4.4819455078125,7.0102224609374995,-0.017754768019217097,0.022571091964411327,3.7604526257808137,0.008639379797371914,-0.037158622784395606,0.0
-2623.0,-379.0,-31533.0,1760.0,4012.0,16308.0,3.62,-1.38,18152.0,18.152,0.010000000000001563,-20.022900763358777,-2.8931297709923665,-240.70992366412213,1.0534487304687499,2.4013842651367185,9.76116016845703,-0.02461598708953295,0.017911599749269563,3.7158622784395394,0.008293804605477068,-0.044590347341274365,0.0
10.0,2138.0,-30901.0,-1288.0,3960.0,22768.0,3.72,-1.22,18162.0,18.162,0.00999999999999801,0.07633587786259542,16.3206106870229,-235.8854961832061,-0.7709329345703124,2.370259643554687,13.627795849609374,-0.03226659396564618,0.013200163600246692,3.671271931098265,0.008984954989266807,-0.04459034734127435,0.0
-1074.0,304.0,-30405.0,1288.0,2888.0,20108.0,3.82,-1.86,18172.0,18.172,0.010000000000001563,-8.198473282442748,2.3206106870229006,-232.09923664122138,0.7709329345703124,1.7286135986328124,12.035651745605469,-0.019327737649791975,0.026647139880584092,4.2212195483073165,-0.018661060362323383,0.5499476172090517,0.0
-519.0,461.0,-30627.0,1968.0,792.0,12120.0,3.92,-1.69,18182.0,18.182,0.00999999999999801,-3.9618320610687023,3.519083969465649,-233.793893129771,1.177947216796875,0.4740519287109375,7.254431030273437,-0.023941044023377857,0.018536887247959065,4.169197476409163,0.009330530181161693,-0.05202207189815361,0.0
832.0,2388.0,-30123.0,4956.0,2248.0,20604.0,4.04,-1.54,18192.0,18.192,0.010000000000001563,6.351145038167939,18.229007633587788,-229.94656488549617,2.9664158569335934,1.3455413330078123,12.332532751464843,-0.02885246229204869,0.010603617805179783,4.146902302738527,0.009330530181161685,-0.022295173670637106,0.0
1705.0,2756.0,-29548.0,140.0,4420.0,19684.0,4.14,-1.39,18202.0,18.202,0.010000000000001563,13.01526717557252,21.0381679389313,-225.55725190839695,0.08379705810546874,2.645592834472656,11.781866369628906,-0.03361639294749372,0.0033964097470376257,4.109743679954131,0.008639379797371923,-0.03715862278439577,0.0
2272.0,-1378.0,-28989.0,196.0,2984.0,21728.0,4.24,-1.23,18212.0,18.212,0.00999999999999801,17.34351145038168,-10.51908396946565,-221.29007633587787,0.11731588134765625,1.7860744384765623,13.005303417968749,-0.038873031866388186,-0.0038903702987380644,4.065153332612857,0.008984954989266823,-0.044590347341274025,0.0
-2313.0,-1992.0,-27006.0,-416.0,6264.0,10960.0,4.35,-1.88,18222.0,18.222,0.010000000000001563,-17.65648854961832,-15.206106870229007,-206.15267175572518,-0.24899697265624998,3.749319799804687,6.5601125488281244,-0.03221494102989665,0.013542500958152017,4.629964398935666,-0.018661060362323383,0.5648110663228095,0.0
