timestamp,encoderR,encoderL
27322920,6008.77,9815.18
27332932,6008.75,9815.14
27342935,6008.77,9815.15
27352978,6008.78,9815.15
27362975,6008.74,9815.16
27372968,6008.74,9815.15
27382896,6008.74,9815.16
27392891,6008.73,9815.15
27402972,6008.76,9815.11
27412946,6008.75,9815.15
27422905,6008.74,9815.12
27432937,6008.73,9815.15
27442985,6008.71,9815.15
27452907,6008.75,9815.15
27462991,6008.77,9815.14
27472950,6008.71,9815.13
27483023,6008.74,9815.15
27492929,6008.75,9815.12
27503023,6008.76,9815.16
27512907,6008.73,9815.17
27522916,6008.72,9815.13
27532919,6008.74,9815.14
27543063,6008.74,9815.16
27552951,6008.74,9815.16
27562889,6008.77,9815.17
27572954,6008.71,9815.14
27582908,6008.71,9815.15
27592907,6008.73,9815.16
27602983,6008.75,9815.13
27612905,6008.71,9815.17
27622955,6008.74,9815.15
27633013,6008.77,9815.15
27642943,6008.76,9815.13
27653038,6008.77,9815.16
27662930,6008.73,9815.17
27672935,6008.72,9815.16
27682904,6008.75,9815.14
27692925,6008.76,9815.16
27703048,6008.74,9815.17
27712907,6008.75,9815.16
27722890,6008.75,9815.2
27733873,6008.78,9815.15
27742924,6008.77,9815.17
27752976,6008.75,9815.18
27762914,6008.75,9815.21
27772904,6008.73,9815.19
27782965,6008.75,9815.18
27792898,6008.75,9815.16
27803052,6008.73,9815.18
27812902,6008.72,9815.15
27822969,6008.73,9815.17
27832896,6008.74,9815.18
27842936,6008.77,9815.18
27852918,6008.84,9815.02
27862906,6009.03,9814.1
27872935,6009.75,9812.89
27882919,6011.35,9810.36
27892919,6014.46,9806.49
27902997,6018.53,9800.5
27912931,6025.54,9794.73
27922890,6033.35,9788.93
27932910,6040.45,9782.9
27942957,6052.82,9776.92
27952890,6065.14,9773.26
27962932,6079.41,9771.26
27972923,6093.91,9770.52
27982921,6108.86,9770.59
27992913,6124.63,9771.68
28002927,6137.46,9774.56
28012921,6149.41,9779.71
28022926,6157.81,9785.64
28032949,6163.0,9791.57
28042929,6166.27,9798.03
28052997,6168.32,9801.8
28062908,6169.46,9803.79
28072931,6169.9,9803.69
28082973,6169.8,9802.91
28092982,6169.82,9802.42
28102908,6173.85,9802.36
28112956,6190.17,9802.24
28122915,6189.58,9801.11
28133032,6190.44,9802.02
28142977,6198.63,9802.44
28152928,6212.72,9802.59
28162916,6217.39,9805.53
28173054,6228.44,9815.08
28182970,6240.01,9828.0
28192948,6254.43,9841.28
28202962,6279.96,9857.6
28212914,6297.37,9875.99
28222931,6317.02,9895.7
28233854,6337.18,9999.13
28242919,6359.11,10027.0
28252932,6383.19,10056.03
28262910,6403.9,10087.82
28272951,6427.69,10119.76
28282915,6450.63,10151.88
28292901,6473.94,10191.57
28302917,6501.67,10225.22
28313066,6529.57,10257.06
28322968,6561.76,10369.53
28332940,6587.4,10403.23
28342947,6614.43,10440.32
28352974,6650.82,10475.07
28362889,6681.4,10508.87
28373011,6710.57,10549.04
28383058,6743.82,10585.26
28393092,6774.21,10613.78
28402921,6805.55,10726.36
28412932,6841.11,10761.73
28422921,6874.33,10799.01
28432907,6912.0,10829.78
28442918,6946.79,10864.25
28452932,6994.65,10901.54
28462913,7033.92,10934.21
28472930,7077.98,10962.9
28482955,7117.38,11069.92
28492954,7161.83,11098.26
28502889,7205.18,11131.16
28512890,7247.39,11161.91
28522952,7292.28,11187.36
28532891,7334.17,11216.2
28542926,7390.45,11244.94
28552942,7440.31,11276.66
28563076,7497.81,11304.39
28573006,7557.24,11327.74
28582908,7610.42,11428.48
28592922,7661.53,11455.17
28602933,7729.0,11481.04
28612909,7793.67,11508.9
28622962,7850.56,11534.22
28632963,7915.91,11557.6
28643594,7978.69,11586.84
28652997,8034.13,11614.04
28662907,8098.63,11641.13
28672925,8168.99,11666.94
28682929,8233.33,11689.01
28693047,8305.64,11787.79
28702949,8368.23,11812.15
28712922,8446.03,11838.55
28722967,8522.59,11862.37
28732982,8593.18,11883.21
28742942,8672.8,11905.65
28752955,8737.55,11927.92
28762955,8816.71,11954.14
28772979,8885.94,11982.84
28783092,8964.0,12008.18
28792936,9036.6,12030.99
28802918,9114.14,12051.29
28813030,9204.16,12148.48
28823061,9281.8,12170.84
28832910,9368.64,12193.82
28842916,9444.09,12214.68
28852973,9532.84,12234.9
28862899,9617.22,12254.09
28872908,9696.78,12271.14
28882932,9784.5,12289.03
28892907,9849.08,12307.41
