timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,theta_ins,ax_global_ms2,ay_global_ms2,vx_ins_ms,vy_ins_ms,v_ins_ms,x_ins,y_ins
26242,822,38,2209,2847,-2086,397,10.0,6.2748091603053435,0.2900763358778626,16.862595419847327,1.704073031616211,-1.2485761657714842,0.2376245147705078,-0.02305952989357976,-1.6748309602881182,1.287535860966468,0.44009333943391393,-0.013643227719916006,0.44030476385875233,156.86939866521377,-7.7543825780807385
26252,2839,1513,3877,3979,-1726,773,10.0,21.671755725190838,11.549618320610687,29.595419847328245,2.3816321014404296,-1.0330980163574217,0.4626794708251953,-0.019005303241810535,-2.3615688306739084,1.0781723591349697,0.41991134047910783,-0.001814686619411171,0.4199152616308294,161.16942206477802,-7.831672149777359
26262,670,315,3374,2315,-434,1685,10.0,5.114503816793893,2.404580152671756,25.755725190839694,1.3856442108154297,-0.2597708801269531,1.0085574493408203,-0.014175004613485014,-1.3818228737646032,0.27938563790785675,0.40119438195691237,0.004973103365804022,0.40122520343427565,165.27495067695878,-7.815880066045392
26272,-856,-1598,4963,-3801,1470,-2639,10.0,-6.534351145038168,-12.198473282442748,37.88549618320611,-2.2750901275634763,0.8798691101074219,-1.5795745452880858,-0.008621260348645701,2.2674200920613625,-0.8994503130103761,0.40562236804839685,0.0018727799902909406,0.4056266913876368,169.30903442698593,-7.781650649264912
26282,511,797,4923,-3657,2426,3409,10.0,3.900763358778626,6.083969465648855,37.58015267175573,-2.1888988677978514,1.4520833068847656,2.040458364868164,-0.0020356401252821484,2.185938415582956,-1.456536105580218,0.427889160586614,-0.009907152102659685,0.4280038380789387,173.47659207016017,-7.821822509826748
26293,-77,272,5201,-5001,-1410,913,11.0,-0.5877862595419847,2.0763358778625953,39.70229007633588,-2.9933506256103515,-0.843956085205078,0.546476528930664,0.005382941814377506,2.9887643133965156,0.8600568124048663,0.45635002559599913,-0.01318778821512389,0.45654053885660145,178.3399075941642,-7.948844681574548
26302,-703,588,5611,-3245,770,-3079,9.0,-5.366412213740458,4.488549618320611,42.83206106870229,-1.9422960968017577,0.4608838195800781,-1.8429367279052733,0.011865174595029056,1.9476277165612612,-0.4378062362329165,0.47856378973081,-0.011287660622350044,0.4786968896116208,182.547019763135,-8.058984201343184
26312,159,-742,6779,2963,2114,1989,10.0,1.213740458015267,-5.66412213740458,51.74809160305343,1.773504879760742,1.265335577392578,1.1905167755126953,0.020118849950835592,-1.747690583462972,-1.3007579738081294,0.47956347539630156,-0.019980481672556633,0.4799795272530345,187.33765608877133,-8.215324912817742
26322,1892,2248,10446,-5629,-3462,-827,10.0,14.442748091603054,17.16030534351145,79.74045801526718,-3.3692402862548825,-2.072181536865234,-0.4950011932373047,0.03159339054839145,3.302102585257911,2.177575473934501,0.4873355354052747,-0.015596394171925647,0.48758504035697386,192.17215114277823,-8.393209292040119
26332,1623,429,9825,-477,-2046,-1927,10.0,12.389312977099237,3.2748091603053435,75.0,-0.2855085479736328,-1.2246341491699217,-1.1534066497802733,0.04509704294044587,0.2300096106320973,1.2362602918867942,0.5049960963847275,0.0014727846571834964,0.5049982440152238,197.13380930172903,-8.463827339613841
