gyroX,gyroY,gyroZ,accelX,accelY,accelZ,encoderR,encoderL,timestamp,timestamp_s,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x,y,theta,linear_displacement,delta_theta_odom,delta_theta_gyro
862.0,541.0,-18576.0,-1516.0,-316.0,15480.0,-4.0,0.0,18422.0,18.422,0.010000000000001563,6.580152671755725,4.129770992366412,-141.80152671755727,-0.9074024291992187,-0.18914193115234373,9.265560424804686,-0.03447497994285642,-0.0023870254442421657,-0.0065756278803191515,0.0,0.0,-0.024749035255764686
1391.0,-1144.0,-20876.0,-4240.0,-1088.0,14532.0,-4.0,0.0,18432.0,18.432,0.00999999999999801,10.618320610687023,-8.732824427480915,-159.3587786259542,-2.5378537597656248,-0.6512228515624999,8.698134631347656,-0.03447497994285642,-0.0023870254442421657,-0.03438898167011027,0.0,0.0,-0.027813353789791124
2121.0,1959.0,-23483.0,-112.0,1316.0,19588.0,-4.0,0.0,18443.0,18.443,0.011000000000002785,16.19083969465649,14.954198473282442,-179.25954198473283,-0.06703764648437499,0.7876923461914062,11.724405529785155,-0.03447497994285642,-0.0023870254442421657,-0.06880434312587558,0.0,0.0,-0.0344153614557653
1915.0,-1242.0,-24409.0,-2376.0,3888.0,16976.0,-4.0,0.0,18452.0,18.452,0.009000000000000341,14.618320610687023,-9.48091603053435,-186.32824427480915,-1.4221557861328125,2.327164013671875,10.160991845703125,-0.03447497994285642,-0.0023870254442421657,-0.09807271529437793,0.0,0.0,-0.029268372168502352
-316.0,-1786.0,-24603.0,-1280.0,2372.0,15004.0,-4.0,0.0,18462.0,18.462,0.00999999999999801,-2.4122137404580153,-13.633587786259541,-187.8091603053435,-0.7661445312499999,1.419761584472656,8.980650427246093,-0.03447497994285642,-0.0023870254442421657,-0.13085159742171223,0.0,0.0,-0.03277888212733431
-3328.0,-452.0,-22998.0,3320.0,5160.0,21400.0,-4.0,0.0,18472.0,18.472,0.010000000000001563,-25.404580152671755,-3.450381679389313,-175.55725190839695,1.9871873779296874,3.0885201416015624,12.808978881835937,-0.03447497994285642,-0.0023870254442421657,-0.16149211813726327,0.0,0.0,-0.03064052071555104
462.0,-787.0,-22325.0,3412.0,3860.0,17628.0,-4.0,0.0,18482.0,18.482,0.00999999999999801,3.5267175572519083,-6.00763358778626,-170.4198473282443,2.042254016113281,2.310404602050781,10.551246716308594,-0.03447497994285642,-0.0023870254442421657,-0.1912359926034966,0.0,0.0,-0.02974387446623333
-5534.0,-401.0,-22154.0,-1084.0,6308.0,13760.0,-4.0,0.0,18492.0,18.492,0.010000000000001563,-42.2442748091603,-3.0610687022900764,-169.1145038167939,-0.6488286499023437,3.775656018066406,8.2360537109375,-0.03447497994285642,-0.0023870254442421657,-0.22075204164829693,0.0,0.0,-0.029516049044800322
2503.0,745.0,-20811.0,-5040.0,3436.0,13844.0,-5.0,0.0,18502.0,18.502,0.00999999999999801,19.106870229007633,5.687022900763359,-158.86259541984734,-3.0166940917968748,2.0566192260742184,8.28633194580078,-0.06808575499676804,0.0056465250041688045,-0.2484787951316914,-0.03455751918948772,-0.6520286639525985,-0.02772675348339448
-117.0,-1338.0,-20016.0,-2252.0,-956.0,16860.0,-5.0,0.0,18512.0,18.512,0.010000000000001563,-0.8931297709923665,-10.213740458015268,-152.793893129771,-1.3479355346679687,-0.5722141967773438,10.091559997558592,-0.06808575499676804,0.0056465250041688045,-0.27514636025224404,0.0,0.0,-0.02666756512055264
4693.0,-904.0,-18829.0,184.0,-3656.0,18024.0,-5.0,0.0,18522.0,18.522,0.00999999999999801,35.82442748091603,-6.900763358778626,-143.73282442748092,0.11013327636718749,-2.1883003173828124,10.788272680664061,-0.06808575499676804,0.0056465250041688045,-0.3002324705467438,0.0,0.0,-0.025086110294499763
112.0,-1633.0,-17924.0,-972.0,-164.0,18492.0,-5.0,0.0,18532.0,18.532,0.010000000000001563,0.8549618320610687,-12.465648854961833,-136.82442748091603,-0.5817910034179687,-0.09816226806640624,11.068394274902342,-0.06808575499676804,0.0056465250041688045,-0.3241128381137295,0.0,0.0,-0.02388036756698569
2495.0,2157.0,-17722.0,2716.0,-6020.0,13996.0,-5.0,0.0,18543.0,18.543,0.010999999999999233,19.045801526717558,16.46564885496183,-135.2824427480916,1.6256629272460936,-3.603273498535156,8.377311608886718,-0.06808575499676804,0.0056465250041688045,-0.35008520262077186,0.0,0.0,-0.025972364507042354
-2427.0,634.0,-17252.0,996.0,2372.0,13452.0,-5.0,0.0,18552.0,18.552,0.009000000000000341,-18.52671755725191,4.8396946564885495,-131.6946564885496,0.5961562133789062,1.419761584472656,8.051700183105469,-0.06808575499676804,0.0056465250041688045,-0.3707717508878456,0.0,0.0,-0.020686548267073727
1007.0,5796.0,-19400.0,-4772.0,5320.0,31204.0,-5.0,0.0,18562.0,18.562,0.010000000000001563,7.687022900763359,44.2442748091603,-148.0916030534351,-2.8562825805664063,3.1842882080078123,18.677167150878905,-0.06808575499676804,0.0056465250041688045,-0.39661861156623895,0.0,0.0,-0.025846860678393344
