timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x_ins,y_ins,theta_ins
25373032,-715,-2445,5510,-1828,372,-287,10063.0,-5.458015267175573,-18.66412213740458,42.06106870229008,-1.0941501586914062,0.22266075439453123,-0.17178396911621094,-206.9783000225232,-641.5852295319994,3.405441454293725
25382923,-2335,-1510,4258,-780,72,353,9891.0,-17.82442748091603,-11.526717557251908,32.50381679389313,-0.46686932373046874,0.0430956298828125,0.21128829650878905,-201.8723879232683,-640.7319085287811,3.411052604969055
25392911,-746,-183,965,780,-1648,2441,9988.0,-5.694656488549619,-1.3969465648854962,7.366412213740458,0.46686932373046874,-0.9864110839843749,1.4610615631103514,-196.7875991439416,-639.787855648781,3.4123367436231775
25402934,-459,-1077,-1739,616,-1228,1005,10023.0,-3.50381679389313,-8.221374045801527,-13.274809160305344,0.3687070556640625,-0.7350199096679687,0.6015431671142578,-191.7402895780055,-638.7791218242248,3.4100145234990347
25412961,-459,-1077,-1739,616,-1228,1005,10027.0,-3.50381679389313,-8.221374045801527,-13.274809160305344,0.3687070556640625,-0.7350199096679687,0.6015431671142578,-186.7461643811403,-637.7084352464414,3.407691376618382
25422928,89,325,-4186,3072,-8,193,9967.0,0.6793893129770993,2.480916030534351,-31.954198473282442,1.838746875,-0.0047884033203125,0.11552023010253906,-181.95854420490005,-636.6907503212608,3.4021327211835524
25432974,600,-518,-6087,388,-428,-5115,10046.0,4.580152671755725,-3.954198473282443,-46.465648854961835,0.23223756103515625,-0.2561795776367187,-3.0615853729248044,-177.16212829460136,-635.6458169603319,3.393985630553773
25442963,1033,671,-7381,348,-1372,-155,9989.0,7.885496183206107,5.122137404580153,-56.343511450381676,0.20829554443359374,-0.8212111694335937,-0.09277531433105468,-172.43278402603025,-634.5322630188667,3.3841626498619863
25453001,909,587,-7115,1000,1572,-4207,10038.0,6.938931297709924,4.480916030534351,-54.31297709923664,0.5985504150390625,0.9409212524414062,-2.518101596069336,-167.71702468343474,-633.5194209496999,3.3746472253620428
25462956,-351,169,-6943,1444,708,-1751,9955.0,-2.6793893129770994,1.2900763358778626,-53.0,0.8643067993164062,0.42377369384765623,-1.0480617767333984,-163.11445301491074,-632.5749164004912,3.365438606429133
