timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2
24532994,-139,-768,-1224,-3936,-1933,-1244,10036.0,-1.0610687022900764,-5.862595419847328,-9.34351145038168,-2.35589443359375,-1.1569979522705078,-0.7445967163085937
24542915,1258,-561,-1850,60,2683,1208,9921.0,9.603053435114504,-4.282442748091603,-14.122137404580153,0.03591302490234375,1.6059107635498047,0.7230489013671875
24552919,1125,-502,-1570,68,-1321,1220,10004.0,8.587786259541986,-3.83206106870229,-11.98473282442748,0.040701428222656245,-0.7906850982666015,0.7302315063476562
24562902,125,-469,-1549,-3760,995,164,9983.0,0.9541984732824428,-3.5801526717557253,-11.82442748091603,-2.250549560546875,0.5955576629638671,0.09816226806640624
24572910,426,-129,-524,5072,-345,-1796,10008.0,3.2519083969465647,-0.9847328244274809,-4.0,3.0358477050781247,-0.20649989318847656,-1.0749965454101562
24582975,-190,631,-491,956,355,-744,10065.0,-1.450381679389313,4.816793893129771,-3.7480916030534353,0.5722141967773438,0.21248539733886718,-0.44532150878906246
24592903,144,282,-1978,5428,-1077,3376,9928.0,1.099236641221374,2.1526717557251906,-15.099236641221374,3.248931652832031,-0.6446387969970703,2.020706201171875
24602948,-52,1016,-3526,4180,3751,1904,10045.0,-0.3969465648854962,7.755725190839694,-26.916030534351144,2.501940734863281,2.2451626068115234,1.139639990234375
24612897,-65,669,-4888,4040,1247,-3520,9949.0,-0.4961832061068702,5.106870229007634,-37.31297709923664,2.418143676757812,0.7463923675537109,-2.1068974609374997
24622931,-402,987,-4246,268,-657,3644,10034.0,-3.068702290076336,7.534351145038168,-32.412213740458014,0.16041151123046873,-0.39324762268066404,2.1811177124023438
24632918,931,463,-5559,4248,-1201,660,9987.0,7.106870229007634,3.5343511450381677,-42.43511450381679,2.5426421630859375,-0.7188590484619141,0.3950432739257812
24642925,-711,279,-6726,2996,-197,3508,10007.0,-5.427480916030534,2.1297709923664123,-51.343511450381676,1.7932570434570312,-0.11791443176269531,2.099714855957031
24652990,-1679,152,-5929,6524,-1193,-3232,10065.0,-12.816793893129772,1.1603053435114503,-45.25954198473283,3.9049429077148434,-0.7140706451416016,-1.93451494140625
24662912,-2231,-686,-8102,2288,-153,-1652,9922.0,-17.03053435114504,-5.236641221374046,-61.847328244274806,1.369483349609375,-0.09157821350097656,-0.9888052856445312
24672901,-49,439,-8344,1960,1699,-756,9989.0,-0.37404580152671757,3.351145038167939,-63.69465648854962,1.1731588134765625,1.016937155151367,-0.4525041137695312
24682940,921,1007,-8769,1396,-709,3936,10039.0,7.030534351145038,7.687022900763359,-66.93893129770993,0.8355763793945312,-0.42437224426269526,2.35589443359375
24692910,921,1007,-8769,1396,-709,3936,9970.0,7.030534351145038,7.687022900763359,-66.93893129770993,0.8355763793945312,-0.42437224426269526,2.35589443359375
24702918,704,2319,-4631,1840,-1645,296,10008.0,5.374045801526718,17.702290076335878,-35.35114503816794,1.1013327636718748,-0.9846154327392578,0.1771709228515625
24712962,-1869,1818,4825,-13816,-233,1888,10044.0,-14.267175572519085,13.877862595419847,36.83206106870229,-8.269572534179687,-0.13946224670410157,1.13006318359375
24722924,-3090,-2093,4558,3068,6823,-8352,9962.0,-23.587786259541986,-15.977099236641221,34.79389312977099,1.8363526733398436,4.083909481811523,-4.99909306640625
24732917,2741,1656,10086,4596,215,3960,9993.0,20.923664122137403,12.641221374045802,76.99236641221374,2.750937707519531,0.12868833923339842,2.370259643554687
24742916,2741,1656,10086,4596,215,3960,9999.0,20.923664122137403,12.641221374045802,76.99236641221374,2.750937707519531,0.12868833923339842,2.370259643554687
