timestamp,encoderR,encoderL
29422,21515.39,14023.45
29432,21585.1,14050.76
29442,21656.93,14079.64
29452,21729.05,14186.84
29462,21793.42,14214.58
29472,21860.44,14245.34
29482,21930.54,14273.77
29492,22009.28,14300.07
29502,22080.34,14329.79
29512,22162.58,14356.68
29522,22234.69,14385.04
29532,22325.22,14412.72
29542,22411.75,14436.92
29552,22492.01,14540.45
29562,22580.2,14565.5
29572,22666.07,14583.8
